部件報告

測量設定資料名,2025最新版本-6880-大尾巴-完整Set-軟墊量測
測量日期及時間,2026/1/8 下午 04:43:19
批號,
串列計數器,C2V186SP-688V30S0147
擔當者,
商品名,
測量機器,KEYENCE LM-X Series(DESKTOP-O5ESJ05)
綜合判定,NG
備註,

＜測量結果＞
No,測量專案,實測值,單位,設計值,上限公差,下限公差,判斷
87,no.25孔外徑,3.703,mm,3.700,0.050,-0.050,OK,
88,no.26孔外徑,3.708,mm,3.700,0.050,-0.050,OK,
89,no.27孔外徑,3.718,mm,3.700,0.050,-0.050,OK,
90,no.28孔外徑,3.701,mm,3.700,0.050,-0.050,OK,
91,no.29孔外徑,3.728,mm,3.700,0.050,-0.050,OK,
92,no.30孔外徑,3.717,mm,3.700,0.050,-0.050,OK,
93,no.31孔外徑,3.580,mm,3.700,0.050,-0.050,NG,
94,no.32孔外徑,3.715,mm,3.700,0.050,-0.050,OK,
95,no.33孔外徑,3.720,mm,3.700,0.050,-0.050,OK,
96,no.34孔外徑,3.584,mm,3.700,0.050,-0.050,NG,
97,no.35孔外徑,3.586,mm,3.700,0.050,-0.050,NG,
98,no.36孔外徑,3.729,mm,3.700,0.050,-0.050,OK,
99,no.37孔外徑,3.726,mm,3.700,0.050,-0.050,OK,
100,no.38孔外徑,3.590,mm,3.700,0.050,-0.050,NG,
101,no.39孔外徑,3.726,mm,3.700,0.050,-0.050,OK,
102,no.40孔外徑,3.722,mm,3.700,0.050,-0.050,OK,
103,no.41孔外徑,3.724,mm,3.700,0.050,-0.050,OK,
104,no.42孔外徑,3.720,mm,3.700,0.050,-0.050,OK,
105,no.43孔外徑,3.606,mm,3.700,0.050,-0.050,NG,
106,no.44孔外徑,3.695,mm,3.700,0.050,-0.050,OK,
107,no.45孔外徑,3.587,mm,3.700,0.050,-0.050,NG,
108,no.46孔外徑,3.714,mm,3.700,0.050,-0.050,OK,
109,no.47孔外徑,3.702,mm,3.700,0.050,-0.050,OK,
110,no.48孔外徑,3.264,mm,3.700,0.050,-0.050,NG,
111,no.49孔外徑,3.705,mm,3.700,0.050,-0.050,OK,
112,no.50孔外徑,3.700,mm,3.700,0.050,-0.050,OK,
113,no.51孔外徑,3.752,mm,3.700,0.050,-0.050,NG,
114,no.52孔外徑,3.712,mm,3.700,0.050,-0.050,OK,
115,no.53孔外徑,3.696,mm,3.700,0.050,-0.050,OK,
116,no.54孔外徑,3.693,mm,3.700,0.050,-0.050,OK,
117,no.55孔外徑,3.691,mm,3.700,0.050,-0.050,OK,
118,no.56孔外徑,3.708,mm,3.700,0.050,-0.050,OK,
119,no.57孔外徑,3.695,mm,3.700,0.050,-0.050,OK,
120,no.58孔外徑,3.694,mm,3.700,0.050,-0.050,OK,
121,no.59孔外徑,3.694,mm,3.700,0.050,-0.050,OK,
122,no.60孔外徑,3.697,mm,3.700,0.050,-0.050,OK,
123,no.1座標[X座標],9.527,mm,9.700,0.050,-0.050,NG,
123,no.1座標[Y座標],16.810,mm,16.755,0.050,-0.050,NG,
124,no.2座標[X座標],9.529,mm,9.700,0.050,-0.050,NG,
124,no.2座標[Y座標],22.800,mm,22.755,0.050,-0.050,OK,
125,no.3座標[X座標],9.547,mm,9.700,0.050,-0.050,NG,
125,no.3座標[Y座標],28.796,mm,28.755,0.050,-0.050,OK,
126,no.4座標[X座標],9.546,mm,9.700,0.050,-0.050,NG,
126,no.4座標[Y座標],34.801,mm,34.755,0.050,-0.050,OK,
127,no.5座標[X座標],9.545,mm,9.700,0.050,-0.050,NG,
127,no.5座標[Y座標],40.806,mm,40.755,0.050,-0.050,NG,
128,no.6座標[X座標],9.530,mm,9.700,0.050,-0.050,NG,
128,no.6座標[Y座標],46.794,mm,46.755,0.050,-0.050,OK,
129,no.7座標[X座標],9.518,mm,9.700,0.050,-0.050,NG,
129,no.7座標[Y座標],52.792,mm,52.755,0.050,-0.050,OK,
130,no.8座標[X座標],9.505,mm,9.700,0.050,-0.050,NG,
